service,created_at,updated_at,day,latencies
12047,2023-03-19 21:00:38.306 -0300,2023-03-19 21:59:38.574 -0300,2023-03-19 21:59:38.339 -0300,"6410,6774,6470,6346,7002,7938,6588,8353,6516,7638,8735,7899,7143,8086,8607,6603,10490,9843,6770,7754,7876,34607,7057,10673,8488,7568,7444,6849,6430,12031,12228,7581,8407,5573,6751,7590,14624,27360,30476,7626,5559,10657,7817,9984,6576,11099,11861,7912,7697,10036,6856,6899,6001,10692,17682,15064,8959,7825,7291,8146"
12047,2023-03-19 13:00:38.486 -0300,2023-03-19 13:59:39.271 -0300,2023-03-19 13:59:38.245 -0300,"6481,10298,8093,8685,8917,6827,8025,6632,9610,8755,10916,12701,7199,7058,11384,7844,7880,11401,11234,8865,7343,7745,8469,9678,9552,9382,21480,11091,8445,7471,10620,8670,8236,7310,9207,7398,8206,7663,6782,7323,9186,10191,9801,8495,22323,6306,8000,10116,6948,8488,10457,9770,9448,5865,4791,7618,8948,9298,39161,6911"
12047,2023-03-20 13:00:39.358 -0300,2023-03-20 13:22:38.425 -0300,2023-03-20 13:22:38.278 -0300,"34789,55006,128569,22174,13091,8721,13894,10289,8081,8023,7039,7693,9467,7123,7731,8643,6229,7310,8389,8245,6367,12110,16806"
12047,2023-03-19 16:00:39.295 -0300,2023-03-19 16:59:38.866 -0300,2023-03-19 16:59:38.531 -0300,"9952,19955,11971,20456,10129,8323,10520,6735,8126,11301,6989,11868,10447,7847,25078,18419,8500,5987,7434,7291,9516,9126,8892,8144,13738,12060,8737,15883,24112,7885,8367,8235,9421,8582,9301,8570,15815,8406,10231,8787,6767,7911,17431,8781,8327,7968,8708,7068,6156,9287,7665,7211,6722,12983,8847,6034,7133,13126,8963,19357"
12047,2023-03-20 08:00:39.033 -0300,2023-03-20 08:59:38.927 -0300,2023-03-20 08:59:38.658 -0300,"7075,18412,12184,7119,7482,6441,6142,8100,8088,7062,6899,7536,5463,6169,7702,9214,8118,5988,6809,8399,8273,7140,8048,7836,8787,7346,8810,7882,7739,8246,8360,8278,5837,7083,7090,7761,8397,6765,30585,8130,7038,9153,7035,8024,6028,34801,7631,11334,13361,8135,7076,9929,40065,7887,6756,6659,8587,8291,38704,138641"
12047,2023-03-19 22:00:38.921 -0300,2023-03-19 22:59:39.416 -0300,2023-03-19 22:59:38.252 -0300,"8507,10464,6946,8164,8388,9984,6846,7792,7788,6338,17071,8000,25705,6556,7010,13082,27828,10209,7615,8840,5406,21390,12499,6691,10125,5634,7931,17122,6804,8657,7009,10884,6608,8131,7270,8836,14035,7606,9195,10881,7676,8435,11196,6914,8606,5727,7941,9547,6931,6362,9530,6130,13751,7227,7846,10254,13304,6102,6049,7798"
12047,2023-03-20 05:00:38.957 -0300,2023-03-20 05:59:38.582 -0300,2023-03-20 05:59:38.265 -0300,"7474,6575,6071,9298,7364,8095,7679,8015,7076,7576,15888,10449,8234,12923,8974,8064,10292,6485,6058,11163,5665,7323,6477,8215,6505,8070,6647,7703,7111,7868,6844,11633,6288,15141,10406,9000,7978,7324,11430,5693,6964,6001,10152,8096,11839,7620,10153,7310,6429,6924,5928,19581,8312,5535,8060,7584,9420,10155,7800,6441"
12047,2023-03-20 06:00:38.972 -0300,2023-03-20 06:59:41.139 -0300,2023-03-20 06:59:40.976 -0300,"6814,5977,7185,6573,8049,8660,7639,7467,8681,5666,9041,9909,10069,13246,10113,6852,8208,7126,9052,7819,7098,8907,10172,7233,7463,6800,9716,7971,7092,9141,8611,7727,6768,6853,12461,10505,6925,8534,8223,8426,7532,25644,6376,7945,9000,8063,6019,7007,10298,6262,9476,8682,8598,5757,8387,6119,6434,6909,5724,7077"
12047,2023-03-19 18:00:38.756 -0300,2023-03-19 18:59:38.946 -0300,2023-03-19 18:59:38.251 -0300,"8954,8204,6565,10183,7666,8494,7380,6732,7355,8582,7356,8424,6246,6778,5981,7742,6112,9002,7589,5013,9185,7088,7088,7190,8137,6886,9283,7915,12105,8271,6400,9476,8274,10821,13552,6848,5507,11123,12065,8714,8486,11462,6140,6608,6786,8138,8107,9071,6463,6595,6475,8406,7578,12067,7059,7117,6621,7428,10135,6286"
12047,2023-03-19 14:00:39.101 -0300,2023-03-19 14:59:38.926 -0300,2023-03-19 14:59:38.258 -0300,"7734,22091,6936,9525,6905,34099,9581,10556,10169,8357,6462,42553,8910,7969,7309,6484,9351,7949,13626,8851,7312,15678,5198,7263,6963,6221,9017,8805,7601,7411,8138,13198,7383,7313,10856,6859,10310,8149,7981,8675,12280,7825,6472,15879,8197,8625,17935,7311,6739,6436,7404,8492,8325,7609,9604,8070,18911,9097,9640,8641"
